sn	patient	batch	sample_name
W0026_2	W0026	batch_2	PRJEB38984_W0026_2
W0026_3	W0026	batch_3	PRJEB38984_W0026_3
W0026_4	W0026	batch_4	PRJEB38984_W0026_4
W0027_1	W0027	batch_1	PRJEB38984_W0027_1
W0027_2	W0027	batch_2	PRJEB38984_W0027_2
W0027_3	W0027	batch_3	PRJEB38984_W0027_3
W0027_4	W0027	batch_4	PRJEB38984_W0027_4
W0028_1	W0028	batch_1	PRJEB38984_W0028_1
W0028_2	W0028	batch_2	PRJEB38984_W0028_2
W0028_3	W0028	batch_3	PRJEB38984_W0028_3
W0028_4	W0028	batch_4	PRJEB38984_W0028_4
W0029_1	W0029	batch_1	PRJEB38984_W0029_1
W0029_2	W0029	batch_2	PRJEB38984_W0029_2
W0029_4	W0029	batch_4	PRJEB38984_W0029_4
W0030_1	W0030	batch_1	PRJEB38984_W0030_1
W0030_2	W0030	batch_2	PRJEB38984_W0030_2
W0030_3	W0030	batch_3	PRJEB38984_W0030_3
W0030_4	W0030	batch_4	PRJEB38984_W0030_4
W0031_1	W0031	batch_1	PRJEB38984_W0031_1
W0031_2	W0031	batch_2	PRJEB38984_W0031_2
W0031_3	W0031	batch_3	PRJEB38984_W0031_3
W0031_4	W0031	batch_4	PRJEB38984_W0031_4
W0032_1	W0032	batch_1	PRJEB38984_W0032_1
W0032_2	W0032	batch_2	PRJEB38984_W0032_2
W0032_3	W0032	batch_3	PRJEB38984_W0032_3
W0032_4	W0032	batch_4	PRJEB38984_W0032_4
W0033_1	W0033	batch_1	PRJEB38984_W0033_1
W0033_2	W0033	batch_2	PRJEB38984_W0033_2
W0033_3	W0033	batch_3	PRJEB38984_W0033_3
W0033_4	W0033	batch_4	PRJEB38984_W0033_4
W0034_1	W0034	batch_1	PRJEB38984_W0034_1
W0034_2	W0034	batch_2	PRJEB38984_W0034_2
W0034_3	W0034	batch_3	PRJEB38984_W0034_3
W0034_4	W0034	batch_4	PRJEB38984_W0034_4
W0035_1	W0035	batch_1	PRJEB38984_W0035_1
W0035_2	W0035	batch_2	PRJEB38984_W0035_2
W0035_3	W0035	batch_3	PRJEB38984_W0035_3
W0035_4	W0035	batch_4	PRJEB38984_W0035_4
W0036_1	W0036	batch_1	PRJEB38984_W0036_1
W0036_2	W0036	batch_2	PRJEB38984_W0036_2
W0036_3	W0036	batch_3	PRJEB38984_W0036_3
W0036_4	W0036	batch_4	PRJEB38984_W0036_4
W0037_1	W0037	batch_1	PRJEB38984_W0037_1
W0037_2	W0037	batch_2	PRJEB38984_W0037_2
W0037_4	W0037	batch_4	PRJEB38984_W0037_4
W0038_1	W0038	batch_1	PRJEB38984_W0038_1
W0038_2	W0038	batch_2	PRJEB38984_W0038_2
W0038_3	W0038	batch_3	PRJEB38984_W0038_3
W0038_4	W0038	batch_4	PRJEB38984_W0038_4
W0039_1	W0039	batch_1	PRJEB38984_W0039_1
W0039_2	W0039	batch_2	PRJEB38984_W0039_2
W0039_3	W0039	batch_3	PRJEB38984_W0039_3
